chr,region,start,end,strand,gene_name
LT708304.1,SSR27,819402,820266,-,BQ2027_MB0746C
LT708304.1,SSR27,820359,821462,-,BQ2027_MB0747C
LT708304.1,SSR27,821665,822321,-,fucA
LT708304.1,SSR27,822318,823298,-,serA2
LT708304.1,SSR27,823329,824675,+,xylB
LT708304.1,SSR27,824688,825416,+,BQ2027_MB0751
LT708304.1,SSR27,825505,826461,-,BQ2027_MB0752C
LT708304.1,SSR27,826622,827947,+,secY
LT708304.1,SSR27,827944,828489,+,adk
LT708304.1,SSR27,828492,829292,+,mapA
LT708304.1,SSR27,829365,829898,+,sigL
LT708304.1,SSR27,829962,830714,+,rsla
LT708304.1,SSR27,831029,831526,+,BQ2027_MB0758
LT708304.1,SSR27,831884,832432,+,BQ2027_MB0759
LT708304.1,SSR27,832637,833485,+,BQ2027_MB0760
LT708304.1,SSR27,833600,834127,+,BQ2027_MB0761
LT708304.1,SSR27,834176,834692,+,BQ2027_IS1557'-1
LT708304.1,SSR27,834358,834672,+,BQ2027_MB0762
LT708304.1,SSR27,834814,835332,+,PE_PGRS8
LT708304.1,SSR27,835710,836267,-,BQ2027_MB0764C
LT708304.1,SSR27,836264,836361,-,BQ2027_MB0765C
LT708304.1,SSR25,785472,786359,+,fusA1
LT708304.1,SSR25,786590,787780,+,tuf
LT708304.1,SSR25,787918,788715,+,BQ2027_MB0705
LT708304.1,SSR25,788868,789695,+,BQ2027_MB0706
LT708304.1,SSR25,789709,790929,+,BQ2027_MB0707
LT708304.1,SSR25,790926,791180,-,BQ2027_MB0708C
LT708304.1,SSR25,791793,792842,-,BQ2027_MB0709C
LT708304.1,SSR25,792839,793435,-,BQ2027_MB0710C
LT708304.1,SSR25,793427,793615,+,BQ2027_MB0710A
LT708304.1,SSR25,793600,793929,+,mftB
LT708304.1,SSR25,793926,795101,+,pqqE
LT708304.1,SSR25,795104,796294,+,lldD1
LT708304.1,SSR3,66913,68352,+,BQ2027_MB0064
LT708304.1,SSR3,68610,71549,+,BQ2027_MB0065
LT708304.1,SSR3,71616,71855,+,vapB1
LT708304.1,SSR3,71848,72249,+,vapc1
LT708304.1,SSR3,72301,74538,-,icd2
LT708304.1,SSR3,74656,75225,-,BQ2027_MB0068C
LT708304.1,SSR3,75328,76239,+,BQ2027_MB0069
LT708304.1,SSR3,76264,77649,-,sdaA
LT708304.1,SSR3,77646,78923,-,glyA2
LT708304.1,SDR9,2293551,2295310,-,pks12
LT708304.1,SSR28,850722,852230,-,PPE12
LT708304.1,SSR28,852532,852717,-,BQ2027_MB0778C
LT708304.1,SSR28,852826,852897,-,BQ2027_THRV
LT708304.1,SSR28,852931,853656,-,BQ2027_MB0779C
LT708304.1,SSR28,853798,854541,+,phoP
LT708304.1,SSR28,854586,856043,+,phoR
LT708304.1,SSR28,856015,856347,-,BQ2027_MB0782C
LT708304.1,SSR28,856456,856875,-,BQ2027_MB0783C
LT708304.1,SSR28,856888,858015,-,adhB
LT708304.1,SSR28,858114,858659,-,BQ2027_MB0785C
LT708304.1,SSR28,858662,858868,-,BQ2027_MB0786C
LT708304.1,SSR28,858871,860226,-,cyp51
LT708304.1,SSR28,860226,861053,-,BQ2027_MB0788C
LT708304.1,SSR28,861053,862261,-,cyp123
LT708304.1,SSR28,862258,862899,-,BQ2027_MB0790C
LT708304.1,SSR28,863101,863331,+,aldA
LT708304.1,SSR59,1837302,1838233,-,BQ2027_MB1666C
LT708304.1,SSR59,1838292,1841810,-,lysX
LT708304.1,SSR59,1842047,1842652,+,infC
LT708304.1,SSR59,1842702,1842896,+,rpmI
LT708304.1,SSR59,1842958,1843347,+,rplT
LT708304.1,SSR59,1843380,1844162,+,tsnR
LT708304.1,SSR59,1844173,1845228,-,BQ2027_MB1672C
LT708304.1,SSR59,1845538,1846470,+,PE17
LT708304.1,SSR59,1846548,1847498,+,BQ2027_MB1674
LT708304.1,SSR59,1847505,1848311,+,BQ2027_MB1675
LT708304.1,SSR59,1848507,1849532,+,pheS
LT708304.1,SSR59,1849532,1852027,+,pheT
LT708304.1,SSR59,1852121,1852521,-,PE_PGRS30
LT708304.1,SSR66,2055672,2055922,+,BQ2027_MB1848
LT708304.1,SSR66,2056042,2057547,-,PE_PGRS33
LT708304.1,SSR66,2057682,2059601,-,baca
LT708304.1,SSR66,2059672,2061315,+,ilvG
LT708304.1,SSR66,2061330,2063756,+,secA2
LT708304.1,SSR66,2063953,2064582,+,pgsA2
LT708304.1,SSR66,2064575,2065498,+,BQ2027_MB1854
LT708304.1,SSR66,2065527,2065892,+,BQ2027_MB1855
LT708304.1,SSR66,2065909,2066787,+,BQ2027_MB1856
LT708304.1,SSR66,2066825,2067229,+,gcvH
LT708304.1,SSR94,2985702,2986376,-,BQ2027_MB2731C
LT708304.1,SSR94,2986489,2987895,+,sthA
LT708304.1,SSR94,2988113,2989087,+,BQ2027_MB2733
LT708304.1,SSR94,2989146,2990171,+,BQ2027_MB2734
LT708304.1,SSR94,2990220,2990906,+,BQ2027_MB2735
LT708304.1,SSR94,2990915,2991409,-,BQ2027_MB2736C
LT708304.1,SSR94,2991461,2991925,-,nrdr
LT708304.1,SSR94,2992088,2992585,-,BQ2027_MB2738C
LT708304.1,SSR94,2992893,2993546,+,lexA
LT708304.1,SSR94,2993568,2995667,-,BQ2027_MB2740C
LT708304.1,SSR94,2995683,2995701,+,BQ2027_MB2741
LT708304.1,SSR119,3904422,3904996,-,BQ2027_MB3550C
LT708304.1,SSR119,3905149,3906060,+,BQ2027_MB3551
LT708304.1,SSR119,3906076,3907140,+,ltp4
LT708304.1,SSR119,3907157,3908341,+,ltp3
LT708304.1,SSR119,3908383,3909414,+,BQ2027_MB3554
LT708304.1,SSR119,3909428,3909952,-,BQ2027_MB3555C
LT708304.1,SSR119,3910067,3911227,+,ksha
LT708304.1,SSR119,3911233,3911682,+,BQ2027_MB3557
LT708304.1,SSR119,3912107,3912820,-,BQ2027_MB3558C
LT708304.1,SSR119,3913512,3914666,-,BQ2027_MB3559C
LT708304.1,SSR119,3914666,3915448,-,BQ2027_MB3560C
LT708304.1,SSR119,3915445,3916572,-,BQ2027_MB3561C
LT708304.1,SSR119,3916971,3917901,+,PPE61
LT708304.1,SSR116,3807130,3809004,-,glmS
LT708304.1,SSR116,3809026,3809502,+,BQ2027_MB3467
LT708304.1,SSR116,3809512,3810354,+,BQ2027_MB3468
LT708304.1,SSR116,3810374,3811777,-,BQ2027_MB3469C
LT708304.1,SSR116,3811780,3812091,-,BQ2027_MB3470C
LT708304.1,SSR116,3812139,3813485,-,mrsA
LT708304.1,SSR116,3813610,3814065,-,rpsI
LT708304.1,SSR116,3814062,3814505,-,rplM
LT708304.1,SSR116,3814738,3815040,-,esxT
LT708304.1,SSR116,3815061,3815378,-,esxU
LT708304.1,SSR116,3815431,3816645,-,BQ2027_MB3476C
LT708304.1,SSR116,3816642,3818721,-,eccc4
LT708304.1,SSR110,3538152,3539156,-,BQ2027_MB3227C
LT708304.1,SSR110,3539233,3539451,+,BQ2027_MB3227A
LT708304.1,SSR110,3539482,3540267,+,lipV
LT708304.1,SSR110,3540270,3540575,+,BQ2027_MB3229
LT708304.1,SSR110,3540582,3541460,-,BQ2027_MB3230C
LT708304.1,SSR110,3541487,3542662,-,moeB1
LT708304.1,SSR110,3542753,3543610,-,BQ2027_MB3232C
LT708304.1,SSR110,3543956,3544642,+,BQ2027_MB3233
LT708304.1,SSR110,3544629,3544901,-,TB9.4
LT708304.1,SSR110,3545226,3545786,+,BQ2027_MB3235
LT708304.1,SSR110,3545796,3546491,-,BQ2027_MB3236C
LT708304.1,SSR110,3546750,3548333,+,rhlE
LT708304.1,SSR110,3548346,3549569,+,BQ2027_MB3238
LT708304.1,SSR110,3549645,3550445,-,BQ2027_MB3239C
LT708304.1,SSR110,3550599,3551210,+,gpm2
LT708304.1,SSR110,3551207,3552325,+,entC
LT708304.1,SSR110,3552473,3552805,+,BQ2027_MB3242
LT708304.1,SSR110,3552757,3553188,-,BQ2027_MB3243C
LT708304.1,SSR110,3553477,3554442,+,BQ2027_MB3244
LT708304.1,SSR110,3554722,3554976,+,whiB1
LT708304.1,SSR110,3555038,3556543,-,BQ2027_MB3246C
LT708304.1,SSR110,3556560,3556775,-,TB7.3
LT708304.1,SSR110,3557060,3557365,-,rsha
LT708304.1,SSR110,3557362,3557913,-,BQ2027_MB3249C
LT708304.1,SSR110,3557910,3558560,-,sigH
LT708304.1,SSR110,3558860,3559708,+,BQ2027_MB3251
LT708304.1,SSR110,3559722,3559832,+,BQ2027_MB3252
LT708304.1,SSR110,3559810,3560028,+,BQ2027_MB3253
LT708304.1,SSR110,3560025,3561449,-,BQ2027_MB3254C
LT708304.1,SSR110,3561573,3562331,-,BQ2027_MB3255C
LT708304.1,SSR110,3562386,3563738,+,aroA
LT708304.1,SSR110,3563735,3564727,+,BQ2027_MB3257
LT708304.1,SSR110,3564760,3566043,-,desa3
LT708304.1,SSR110,3566121,3567263,-,BQ2027_MB3259C
LT708304.1,SSR110,3567373,3567882,-,BQ2027_MB3260C
LT708304.1,SSR110,3567879,3568161,-,ppk2
LT708304.1,SSR56,1780059,1781108,+,bioB
LT708304.1,SSR56,1781109,1781348,+,BQ2027_MB1616
LT708304.1,SSR56,1781345,1782010,+,BQ2027_MB1617
LT708304.1,SSR56,1782175,1783515,-,BQ2027_MB1618C
LT708304.1,SSR56,1783772,1784482,-,BQ2027_MB1619C
LT708304.1,SSR56,1784531,1785580,+,nadA
LT708304.1,SSR56,1785580,1787163,+,nadB
LT708304.1,SSR56,1787163,1788020,+,nadC
LT708304.1,SSR56,1788069,1788827,+,BQ2027_MB1623
LT708304.1,SSR56,1788848,1789258,-,BQ2027_MB1624C
LT708304.1,SSR56,1789358,1790674,+,hisD
LT708304.1,SSR56,1790671,1791813,+,hisC1
LT708304.1,SSR56,1791810,1792442,+,hisB
LT708304.1,SSR56,1792439,1793059,+,hisH
LT708304.1,SSR56,1793069,1793806,+,hisA
LT708304.1,SSR56,1793814,1794626,+,impA
LT708304.1,SSR56,1794628,1795101,+,hisF
LT708304.1,SSR75,2335812,2338308,-,helY
LT708304.1,SSR75,2338357,2339283,-,tatC
LT708304.1,SSR75,2339300,2339551,-,tatA
LT708304.1,SSR75,2339619,2340569,-,pafc
LT708304.1,SSR75,2340566,2341564,-,pafb
LT708304.1,SSR75,2341573,2342931,-,pafa
LT708304.1,SSR75,2342983,2344458,-,pe21
LT708304.1,SSR75,2344641,2346293,+,BQ2027_MB2126
LT708304.1,SSR75,2346492,2349533,+,helZ
LT708304.1,SSR75,2349526,2350359,+,BQ2027_MB2128
LT708304.1,SSR75,2350338,2350772,-,vapc37
LT708304.1,SSR75,2350779,2351031,-,vapb37
LT708304.1,SSR62,1949532,1949597,-,BQ2027_MB1761C
LT708304.1,SSR62,1949661,1950293,-,BQ2027_MB1762C
LT708304.1,SSR62,1950580,1950822,-,BQ2027_MB1763C
LT708304.1,SSR62,1951097,1951594,-,BQ2027_MB1764C
LT708304.1,SSR62,1952034,1953992,-,narX
LT708304.1,SSR62,1953989,1955176,-,narK2
LT708304.1,SSR62,1955463,1955747,+,BQ2027_MB1767
LT708304.1,SSR62,1955761,1957443,-,BQ2027_MB1768C
LT708304.1,SSR62,1957511,1957723,+,vapb34
LT708304.1,SSR62,1957723,1957971,+,vapc34
LT708304.1,SSR62,1958052,1958717,+,BQ2027_MB1771
LT708304.1,SSR62,1958811,1960511,+,pknE
LT708304.1,SSR62,1960796,1961197,-,BQ2027_MB1773C
LT708304.1,SSR62,1961268,1961798,-,idi
LT708304.1,SSR62,1961945,1963375,+,pknF
LT708304.1,SSR62,1963437,1966034,+,BQ2027_MB1776
LT708304.1,SSR62,1966407,1967138,+,BQ2027_MB1777
LT708304.1,SSR62,1967135,1967692,-,BQ2027_MB1778C
LT708304.1,SSR62,1967776,1968231,-,fadD1
LT708304.1,SSR43,1309212,1309503,-,fadH
LT708304.1,SSR43,1309500,1310069,-,BQ2027_MB1209C
LT708304.1,SSR43,1310282,1310608,+,fdxC
LT708304.1,SSR43,1310641,1311729,+,BQ2027_MB1211
LT708304.1,SSR43,1311757,1314576,-,BQ2027_MB1212C
LT708304.1,SSR43,1315003,1320081,+,pks3
LT708304.1,SSR90,2801369,2801791,+,BQ2027_MB2542
LT708304.1,SSR90,2802085,2802546,-,BQ2027_MB2543C
LT708304.1,SSR90,2802552,2803799,-,BQ2027_MB2544C
LT708304.1,SSR90,2803918,2804721,-,BQ2027_MB2545C
LT708304.1,SSR90,2804718,2804969,-,BQ2027_MB2546C
LT708304.1,SSR90,2805317,2806543,-,ldtb
LT708304.1,SSR90,2806703,2806774,+,BQ2027_LYSU
LT708304.1,SSR90,2806993,2808471,+,PE26
LT708304.1,SSR90,2808596,2808823,-,BQ2027_MB2549C
LT708304.1,SSR90,2808892,2809365,+,bcp
LT708304.1,SSR90,2809337,2810749,-,BQ2027_MB2551C
LT708304.1,SSR90,2810746,2811138,-,acpS
LT708304.1,SSR90,2811331,2819961,-,fas
LT708304.1,SSR79,2446302,2446605,-,mmpS3
LT708304.1,SSR79,2446791,2447210,-,BQ2027_MB2222C
LT708304.1,SSR79,2447218,2448309,-,ctaC
LT708304.1,SSR79,2448555,2450513,+,asnB
LT708304.1,SSR79,2450611,2451585,-,adok
LT708304.1,SSR79,2451789,2452481,+,BQ2027_MB2226
LT708304.1,SSR79,2452489,2452845,-,BQ2027_MB2227C
LT708304.1,SSR79,2452945,2454021,-,BQ2027_MB2228C
LT708304.1,SSR79,2454180,2454890,+,BQ2027_MB2229
LT708304.1,SSR79,2454969,2456054,+,cobT
LT708304.1,SSR79,2456051,2456800,+,cobS
LT708304.1,SSR79,2456958,2458496,+,BQ2027_MB2232
LT708304.1,SSR79,2458422,2459528,-,ilvE
LT708304.1,SSR79,2459600,2460739,-,gcvT
LT708304.1,SSR79,2460748,2461884,+,BQ2027_MB2235
LT708304.1,SSR79,2461896,2463443,+,pepB
LT708304.1,SSR79,2463481,2465259,-,ephD
LT708304.1,SSR79,2465523,2467184,+,dlat
LT708304.1,SSR79,2467184,2468089,+,BQ2027_MB2239
LT708304.1,SSR79,2468142,2468834,+,lipB
LT708304.1,SSR79,2468831,2469766,+,lipA
LT708304.1,SSR79,2469793,2470545,+,BQ2027_MB2242
LT708304.1,SSR79,2470552,2470974,-,BQ2027_MB2243C
LT708304.1,SDR5,1985801,1987450,-,wag22b
LT708304.1,SSR48,1465812,1467335,+,atpA
LT708304.1,SSR48,1467342,1468259,+,atpG
LT708304.1,SSR48,1468299,1469759,+,atpD
LT708304.1,SSR48,1469773,1470138,+,atpC
LT708304.1,SSR48,1470146,1470580,+,BQ2027_MB1344
LT708304.1,SSR48,1470598,1472097,-,BQ2027_IS1557-2
LT708304.1,SSR48,1471333,1471950,-,BQ2027_MB1346C
LT708304.1,SSR48,1472116,1472697,-,BQ2027_MB1347C
LT708304.1,SSR48,1472766,1474022,+,murA
LT708304.1,SSR48,1474291,1475827,+,rrs
LT708304.1,SSR48,1476103,1479240,+,rrl
LT708304.1,SSR48,1479344,1479458,+,rrf
LT708304.1,SSR48,1479578,1480075,-,ogt
LT708304.1,SSR48,1480072,1481322,-,alkAb
LT708304.1,SSR48,1481326,1481562,-,alkAa
LT708304.1,SSR48,1481643,1483268,-,BQ2027_MB1352C
LT708304.1,SSR48,1483338,1484945,-,BQ2027_MB1353C
LT708304.1,SSR48,1484958,1486661,-,BQ2027_MB1354C
LT708304.1,SSR48,1486723,1487403,+,nucS
LT708304.1,SSR48,1487426,1487722,+,BQ2027_MB1356
LT708304.1,SSR48,1487757,1488215,-,BQ2027_MB1357C
LT708304.1,SSR48,1488306,1489475,+,fadA4
LT708304.1,SSR48,1489605,1490519,+,BQ2027_MB1359
LT708304.1,SSR48,1490598,1492409,-,PE_PGRS24
LT708304.1,SSR48,1492561,1494756,-,glgB
LT708304.1,SSR48,1494764,1494951,-,glgE
LT708304.1,SSR124,4060152,4060273,-,BQ2027_MB3702C
LT708304.1,SSR124,4060289,4060450,-,BQ2027_MB3703C
LT708304.1,SSR124,4060535,4061557,+,BQ2027_MB3704
LT708304.1,SSR124,4061554,4062714,+,BQ2027_MB3705
LT708304.1,SSR124,4062957,4063313,-,whiB4
LT708304.1,SSR124,4063675,4066107,+,ponA2
LT708304.1,SSR124,4066176,4067135,+,BQ2027_MB3708
LT708304.1,SSR124,4067198,4068238,+,BQ2027_MB3709
LT708304.1,SSR124,4068300,4068373,+,BQ2027_PROY
LT708304.1,SSR124,4069054,4070484,-,cyp137
LT708304.1,SSR124,4070510,4070842,-,BQ2027_MB3711C
LT708304.1,SSR124,4071082,4071327,-,rsfb
LT708304.1,SSR124,4071652,4072116,-,BQ2027_MB3713C
LT708304.1,SSR124,4072116,4073471,+,BQ2027_MB3714
LT708304.1,SSR124,4073498,4074151,+,BQ2027_MB3715
LT708304.1,SSR124,4074277,4075278,+,BQ2027_MB3716
LT708304.1,SSR124,4075275,4075371,+,moxR2
LT708304.1,SSR49,1540834,1541655,+,BQ2027_MB1401
LT708304.1,SSR49,1541624,1541884,+,BQ2027_MB1401A
LT708304.1,SSR49,1541956,1543089,-,BQ2027_MB1402C
LT708304.1,SSR49,1543464,1544249,+,lprF
LT708304.1,SSR49,1544445,1545398,+,BQ2027_MB1404
LT708304.1,SSR49,1545400,1545915,+,BQ2027_MB1405
LT708304.1,SSR49,1545912,1547093,+,pks18
LT708304.1,SSR49,1547099,1547896,+,BQ2027_MB1407
LT708304.1,SSR49,1548160,1548618,-,BQ2027_MB1409C
LT708304.1,SSR49,1548920,1550239,+,BQ2027_MB1410
LT708304.1,SSR49,1550236,1551729,+,BQ2027_MB1411
LT708304.1,SSR49,1551667,1552305,-,BQ2027_MB1412C
LT708304.1,SSR49,1552316,1553743,-,BQ2027_MB1413C
LT708304.1,SSR49,1553742,1554323,+,pyrR
LT708304.1,SSR49,1554320,1555279,+,pyrB
LT708304.1,SSR49,1555276,1556568,+,pyrC
LT708304.1,SSR49,1556565,1556721,+,BQ2027_MB1417
LT708304.1,SSR34,1054302,1054708,+,BQ2027_MB0969
LT708304.1,SSR34,1054714,1055475,+,BQ2027_MB0970
LT708304.1,SSR34,1055491,1057152,-,pgi
LT708304.1,SSR34,1057767,1057997,-,BQ2027_MB0972C
LT708304.1,SSR34,1058113,1058430,-,BQ2027_MB0973C
LT708304.1,SSR34,1058727,1061042,+,uvrD1
LT708304.1,SSR34,1061123,1062121,-,BQ2027_MB0975C
LT708304.1,SSR34,1062431,1063594,+,sucC
LT708304.1,SSR34,1063607,1064518,+,sucD
LT708304.1,SSR34,1064581,1065429,-,BQ2027_MB0978C
LT708304.1,SSR34,1065594,1066505,+,BQ2027_MB0979
LT708304.1,SSR34,1066545,1067912,+,BQ2027_MB0980
LT708304.1,SSR34,1068028,1068675,+,purN
LT708304.1,SSR34,1068672,1070243,+,purH
LT708304.1,SSR34,1070350,1071729,+,BQ2027_MB0983
LT708304.1,SSR34,1071722,1073740,+,BQ2027_MB0984
LT708304.1,SSR34,1073794,1074015,+,vapB9
LT708304.1,SSR34,1074012,1074395,+,vapc9
LT708304.1,SSR34,1074541,1074888,+,BQ2027_MB0986
LT708304.1,SSR34,1074907,1075581,-,lprP
LT708304.1,SSR130,4248942,4249599,-,serS
LT708304.1,SSR130,4249732,4251081,+,BQ2027_MB3865
LT708304.1,SSR130,4251086,4251436,+,BQ2027_MB3866
LT708304.1,SSR130,4251695,4252393,-,BQ2027_MB3867C
LT708304.1,SSR130,4252390,4253355,-,pheA
LT708304.1,SSR130,4253451,4254227,+,BQ2027_MB3869
LT708304.1,SSR130,4254253,4254666,+,BQ2027_MB3870
LT708304.1,SSR130,4254615,4255644,+,BQ2027_IS1608'-2
LT708304.1,SSR130,4254864,4255409,+,bfrB
LT708304.1,SSR130,4255424,4256248,-,glpQ1
LT708304.1,SSR130,4256254,4257282,-,BQ2027_MB3873C
LT708304.1,SSR130,4259027,4259811,+,BQ2027_IS1608'-2
LT708304.1,SSR130,4259460,4259811,+,BQ2027_MB3874
LT708304.1,SSR129,4222842,4223087,+,BQ2027_MB3847
LT708304.1,SSR129,4223134,4224684,+,BQ2027_MB3848
LT708304.1,SSR129,4224681,4225016,+,BQ2027_MB3849
LT708304.1,SSR129,4225104,4226510,-,papA2
LT708304.1,SSR129,4226658,4227371,+,BQ2027_MB3851
LT708304.1,SSR129,4227406,4228620,+,chp1
LT708304.1,SSR129,4228945,4232214,-,mmpL8
LT708304.1,SSR129,4232324,4233859,-,papA1
LT708304.1,SSR129,4233910,4234581,-,pks2
LT708304.1,SSR103,3257142,3258940,-,pks1
LT708304.1,SSR103,3258937,3261054,-,fadD22
LT708304.1,SSR103,3261071,3261670,-,BQ2027_MB2973C
LT708304.1,SSR103,3261696,3263555,-,fadD29
LT708304.1,SSR103,3264203,3265348,-,BQ2027_MB2975C
LT708304.1,SSR103,3265541,3266353,+,BQ2027_MB2976
LT708304.1,SSR103,3266379,3267635,+,BQ2027_MB2977
LT708304.1,SSR103,3267766,3268491,-,BQ2027_MB2978C
LT708304.1,SSR103,3268680,3269645,-,BQ2027_MB2979C
LT708304.1,SSR103,3269768,3270499,+,BQ2027_MB2980
LT708304.1,SSR103,3270570,3271397,+,BQ2027_MB2981
LT708304.1,SSR103,3271814,3271948,-,Mb2982cA
LT708304.1,SSR103,3272001,3273101,-,BQ2027_MB2982C
LT708304.1,SSR103,3273202,3273939,-,BQ2027_MB2983C
LT708304.1,SSR103,3274054,3274302,-,BQ2027_MB2984C
LT708304.1,SSR103,3274384,3274773,+,BQ2027_MB2985
LT708304.1,SSR103,3274874,3276223,-,BQ2027_MB2986C
LT708304.1,SSR103,3276337,3277557,+,BQ2027_MB2987
LT708304.1,SSR103,3277630,3278562,+,purU
LT708304.1,SSR103,3279431,3279916,-,kdtB
LT708304.1,SSR103,3280002,3280568,-,BQ2027_MB2990C
LT708304.1,SSR103,3280764,3284147,-,pca
LT708304.1,SSR103,3284172,3284804,-,BQ2027_MB2992C
LT708304.1,SSR103,3284810,3285577,-,BQ2027_MB2993C
LT708304.1,SSR103,3285674,3286804,-,lipN
LT708304.1,SSR103,3287035,3287205,+,BQ2027_MB2995
LT708304.1,SSR103,3287202,3288050,+,BQ2027_MB2996
LT708304.1,SSR103,3288124,3288837,-,BQ2027_MB2997C
LT708304.1,SSR103,3288834,3290631,-,recG
LT708304.1,SSR52,1665912,1667201,-,acn
LT708304.1,SSR52,1667359,1667919,+,BQ2027_MB1512
LT708304.1,SSR52,1668145,1669563,+,ripa
LT708304.1,SSR52,1669574,1670299,+,BQ2027_MB1514
LT708304.1,SSR52,1670438,1671571,+,moxR1
LT708304.1,SSR52,1671568,1672521,+,BQ2027_MB1516
LT708304.1,SSR52,1672532,1673539,+,BQ2027_MB1517
LT708304.1,SSR52,1673612,1674454,-,BQ2027_MB1518C
LT708304.1,SSR52,1674595,1675338,+,fabG1
LT708304.1,SSR52,1675357,1676166,+,inhA
LT708304.1,SSR52,1676172,1677206,+,hemZ
LT708304.1,SSR52,1677172,1678038,-,BQ2027_MB1522C
LT708304.1,SSR52,1678096,1678530,+,BQ2027_MB1523
LT708304.1,SSR52,1678552,1679697,+,BQ2027_MB1524
LT708304.1,SSR52,1679707,1680063,+,BQ2027_MB1525
LT708304.1,SSR52,1680097,1680327,+,BQ2027_MB1526
LT708304.1,SSR52,1680477,1681784,+,BQ2027_MB1527
LT708304.1,SSR52,1682363,1682871,-,BQ2027_MB1528C
LT708304.1,SDR1,416351,416489,+,BQ2027_MB0353
LT708304.1,SDR1,416531,417994,-,ansP2
LT708304.1,SDR1,418333,418600,+,BQ2027_MB0355
LT708304.1,SSR51,1618946,1620421,-,PE_PGRS26
LT708304.1,SSR51,1620528,1622828,+,bisC
LT708304.1,SSR51,1622944,1623429,-,BQ2027_MB1478C
LT708304.1,SSR51,1624043,1624453,-,BQ2027_MB1479C
LT708304.1,SSR51,1624470,1625213,-,devB
LT708304.1,SSR51,1625210,1626121,-,opcA
LT708304.1,SSR51,1626174,1627718,-,zwf2
LT708304.1,SSR51,1627715,1628836,-,tal
LT708304.1,SSR51,1628853,1628931,-,tkt
LT708304.1,SSR35,1080402,1081522,+,ctpV
LT708304.1,SSR35,1081519,1082151,+,BQ2027_MB0995
LT708304.1,SSR35,1082242,1083051,-,echA7
LT708304.1,SSR35,1083051,1084217,-,fadE12
LT708304.1,SSR35,1084214,1086217,-,accA2
LT708304.1,SSR35,1086223,1087812,-,accD2
LT708304.1,SSR35,1087853,1088962,-,fadE13
LT708304.1,SSR35,1088959,1090641,-,BQ2027_MB1001C
LT708304.1,SSR35,1090840,1091271,+,PE_PGRS16
LT708304.1,SSR104,3298032,3298889,-,ddlA
LT708304.1,SSR104,3298967,3299971,-,gpdA2
LT708304.1,SSR104,3300090,3300734,+,cofC
LT708304.1,SSR104,3300826,3303054,+,ppk
LT708304.1,SSR104,3303137,3304090,+,mutT1
LT708304.1,SSR104,3304148,3304792,-,hupB
LT708304.1,SSR104,3305005,3305601,-,leuD
LT708304.1,SSR104,3305626,3307047,-,leuC
LT708304.1,SSR104,3307119,3307820,+,BQ2027_MB3013
LT708304.1,SSR104,3307831,3308691,-,BQ2027_MB3014C
LT708304.1,SSR5,116454,117575,+,nrp
LT708304.1,SSR5,117750,119735,+,BQ2027_MB0105
LT708304.1,SSR5,119951,122209,-,ctpB
LT708304.1,SSR5,122353,123867,+,BQ2027_MB0107
LT708304.1,SSR5,124016,124300,-,rpmB1
LT708304.1,SSR5,124410,125606,+,BQ2027_MB0109
LT708304.1,SSR5,125701,129933,-,ctpI
LT708304.1,SSR128,4185432,4187224,+,embA
LT708304.1,SSR128,4187221,4190517,+,embB
LT708304.1,SSR128,4189149,4190642,+,BQ2027_IS1557'-3
LT708304.1,SSR128,4190585,4191712,+,BQ2027_MB3825
LT708304.1,SSR128,4191792,4193573,+,fadE35
LT708304.1,SSR128,4193561,4195054,+,BQ2027_IS1557'-3
LT708304.1,SSR128,4193700,4194317,+,BQ2027_MB3827
LT708304.1,SSR128,4194292,4195023,+,BQ2027_MB3828
LT708304.1,SSR128,4195065,4195431,-,accD4
LT708304.1,SSR68,2101782,2102301,+,modC
LT708304.1,SSR68,2102354,2103331,+,apa
LT708304.1,SSR68,2103783,2104088,+,BQ2027_MB1892
LT708304.1,SSR68,2104163,2105203,+,adhA
LT708304.1,SSR68,2105210,2105980,-,BQ2027_MB1894C
LT708304.1,SSR68,2105973,2106728,-,BQ2027_MB1895C
LT708304.1,SSR68,2106725,2107585,-,BQ2027_MB1896C
LT708304.1,SSR68,2107759,2110095,+,BQ2027_MB1897
LT708304.1,SSR68,2110383,2111867,+,BQ2027_MB1898
LT708304.1,SSR68,2111966,2112651,+,BQ2027_MB1899
LT708304.1,SDR11,3079951,3079998,+,BQ2027_MB2837
LT708304.1,SSR114,3777880,3778932,-,BQ2027_MB3436C
LT708304.1,SSR114,3779303,3780904,-,BQ2027_MB3437C
LT708304.1,SSR114,3780921,3781625,-,BQ2027_MB3438C
LT708304.1,SSR114,3781743,3782309,-,BQ2027_MB3439C
LT708304.1,SSR114,3782371,3783258,+,BQ2027_MB3440
LT708304.1,SSR114,3783293,3783592,+,vapb47
LT708304.1,SSR114,3783589,3783999,+,vapc47
LT708304.1,SSR114,3784032,3785768,-,choD
LT708304.1,SSR114,3785824,3786951,-,guaB3
LT708304.1,SSR114,3786971,3788560,-,guaB2
LT708304.1,SSR114,3788767,3789177,+,BQ2027_MB3446
LT708304.1,SSR114,3789187,3790086,-,BQ2027_MB3447C
LT708304.1,SSR114,3790079,3790717,-,sigD
LT708304.1,SSR114,3790735,3790881,-,BQ2027_MB3449C
LT708304.1,SSR84,2592844,2593812,+,BQ2027_MB2364
